InstancePath,ProposedComponent,Variant,Size,BeforeHeight,BeforePadding,BeforeLineHeight,TokenCompliance(Yes/No),FocusState(Yes/No),DisabledState(Yes/No),Notes
"L351-356: .tablet-gdpr-btn-settings","Button","outline","sm","40px","0 16px","default","No","No","No","Uses rgba values instead of tokens; missing focus-visible states"
"L357-362: .tablet-gdpr-btn-decline","Button","outline","sm","40px","0 16px","default","No","No","No","Uses rgba values instead of tokens; missing focus-visible states"
"L363-368: .tablet-gdpr-btn-accept","Button","default","sm","40px","0 16px","default","Partial","No","No","Uses brand tokens for background; missing focus-visible; no line-height 1.0"
"L393-400: .tablet-nav-item","Button","ghost","md","auto","12px 20px","default","Yes","No","No","Token compliant colors; missing focus states; no explicit height"
"L408-413: .tablet-lang-btn DE","Button","outline","xs","auto","8px 16px","default","Yes","No","No","Token compliant; missing focus states; small size non-standard"
"L414-419: .tablet-lang-btn EN","Button","outline","xs","auto","8px 16px","default","Yes","No","No","Token compliant; missing focus states; small size non-standard"
"L423-429: .tablet-secondary-toggle","Button","outline","icon","44px","auto (flex center)","default","Yes","No","No","Token compliant; square icon button; missing focus states"
"L432-438: .tablet-nav-cta","Button","default","md","44px","0 20px","default","Yes","No","No","Full token compliance; missing focus states and line-height 1.0"
"L450-460: .tablet-secondary-item","Button","outline","sm","auto","10px 16px","default","No","No","No","Uses rgba border values; missing focus states"
"L486-492: .tablet-hero-cta-primary","Button","default","lg","48px (CSS)","0 24px (CSS)","default","Yes","No","No","Token compliant; needs line-height 1.0; missing focus states"
"L493-499: .tablet-hero-cta-secondary","Button","outline","lg","48px (CSS)","0 24px (CSS)","default","No","No","No","Uses rgba border values; missing focus states"
"L573-576: .tablet-service-cta","Button","default","lg","48px","12px 24px","1.0","Yes","Yes","No","✅ Already has focus-visible and line-height 1.0; token compliant"
"L619-625: .tablet-artist-btn-secondary","Button","outline","md","44px","auto (flex)","default","No","No","No","Uses rgba border values; missing focus states"
"L626-632: .tablet-artist-btn-primary","Button","default","md","44px","auto (flex)","default","Yes","No","No","Token compliant; missing focus states and explicit padding"
"L652-655: .tablet-filter-btn","Button","outline","md","auto","10px 20px","1.0","Yes","Yes","No","✅ Already has focus-visible and line-height 1.0; token compliant"
