Element,Location,Missing,Expected,Severity
Button,/components/ui/button.tsx,Line-height centering,line-height: 1.0,High
Button,/components/ServicesPage.tsx buttons,Focus-visible states,outline: 2px solid var(--brand-gold),Critical
Button,/components/GlassmorphicNavigation.tsx links,Focus-visible states,outline: 2px solid var(--brand-gold),Critical
Button,/components/TabletLuxuryShowcase.tsx buttons,Focus-visible states,WCAG AA focus indicators,Critical
Button,/components/ContactPage.tsx,Form button states,Focus/disabled/loading states,High
Button,/components/ArtistsPage.tsx,CTA focus states,Focus-visible with gold outline,High
Button,/components/CookieConsentBanner.tsx,Button focus states,WCAG AA compliant focus,High
Navigation,/components/GlassmorphicNavigation.tsx,Keyboard navigation,Tab order and focus management,Critical
Navigation,/components/GlassmorphicNavigation.tsx,ARIA labels,aria-current and aria-expanded,High
Navigation,/components/GlassmorphicNavigation.tsx,Mobile menu focus trap,Focus containment in mobile menu,High
Form,/components/ContactPage.tsx,Input focus states,outline: 2px solid var(--brand-gold),Critical
Form,/components/ContactPage.tsx,Validation states,Error/success visual feedback,High
Form,/components/ContactPage.tsx,Label association,Proper label-input relationships,High
Form,/components/ContactPage.tsx,Required field indicators,Visual and screen reader indicators,Medium
Card,/components/ServicesPage.tsx,Interactive feedback,Hover/focus/active states,High
Card,/components/ArtistsPage.tsx,Touch targets,44px minimum on all interactive areas,High
Card,/components/ServicesGridProportional.tsx,Focus management,Keyboard navigation for cards,High
Modal,/components/BookingFlow.tsx,Focus trapping,Focus containment in modal,Critical
Modal,/components/BookingFlow.tsx,Escape key handling,Close modal on Escape,High
Modal,/components/CookieConsentBanner.tsx,Focus management,Initial focus and tab order,High
Link,/components/BreadcrumbNavigation.tsx,Touch targets,44px minimum for mobile,Medium
Link,/components/ComprehensiveFooter.tsx,Focus states,Consistent focus styling,High
Interactive,/components/GalleryPage.tsx,Keyboard navigation,Gallery image navigation,High
Interactive,/components/StickyBookingCTA.tsx,Touch targets,44px minimum height,Medium
Interactive,/components/TrustSignalsBar.tsx,Focus states,Interactive trust signals,Medium
Typography,Multiple components,Color contrast,WCAG AA contrast ratios,High
Typography,/components/TabletLuxuryShowcase.tsx,Text centering in buttons,line-height: 1.0 missing,Critical
Responsive,Mobile components,Touch optimization,Larger touch targets on mobile,High
Responsive,/components/GlassmorphicNavigation.tsx,Mobile accessibility,Accessible mobile menu,High
State,Multiple button components,Disabled states,Proper disabled styling and behavior,High
State,Multiple form elements,Loading states,Visual loading feedback,Medium
State,Multiple interactive elements,Active states,Visual feedback for active state,Medium
ARIA,/components/ServicesPage.tsx,Labels and roles,role="button" and aria-label,Medium
ARIA,/components/ArtistsPage.tsx,Image descriptions,Alt text for artist images,Medium
ARIA,/components/GalleryPage.tsx,Image gallery,ARIA labels for gallery navigation,Medium
ARIA,/components/BookingFlow.tsx,Step indicators,ARIA labels for booking steps,Medium
Screen-reader,Multiple components,Hidden content,sr-only classes for context,Medium
Screen-reader,/components/GlassmorphicNavigation.tsx,Skip links,Navigation skip functionality,High
