key,de,en,state,note
"booking.labels.date","Datum","Date",ok,
"booking.labels.email","E-Mail","Email",ok,
"booking.labels.guests","Anzahl Gäste","Number of Guests",ok,
"booking.labels.name","Name","Full Name",ok,
"booking.labels.phone","Telefonnummer","Phone Number",ok,
"booking.labels.specialRequests","Sonderwünsche (optional)","Special Requests (Optional)",ok,
"booking.labels.time","Uhrzeit","Time",ok,
"booking.maxChars","Maximal 500 Zeichen","Maximum 500 characters",ok,
"booking.placeholders.email","ihre.email@beispiel.de","your@email.com",ok,
"booking.placeholders.name","John Doe","John Doe",possibly_untranslated,Same string in both locales
"booking.placeholders.phone","+49 (0) 89 269 313","+1 (123) 456-7890",ok,
"booking.placeholders.specialRequests","Kurzbeschreibung (z.B. Stil, Körperstelle, Größe, Referenzen)","Any special requirements or notes...",ok,
"booking.placeholders.time","Uhrzeit wählen","Select a time",ok,
"booking.submit","Termin vereinbaren","Book Now",ok,
"booking.submitting","Wird gesendet...","Submitting...",ok,
"booking.toasts.error","Buchungsanfrage fehlgeschlagen","Failed to submit booking",ok,
"booking.toasts.errorBody","Bitte versuchen Sie es erneut oder kontaktieren Sie uns direkt.","Please try again or contact us directly.",ok,
"booking.toasts.success","Buchungsanfrage gesendet","Booking submitted",ok,
"booking.toasts.successBody","Wir melden uns in Kürze zur Bestätigung Ihrer Reservierung.","We'll contact you shortly to confirm your reservation.",ok,
"contact.eyebrow","Kontaktieren Sie uns","Get in touch",ok,
"contact.labels.email","E-Mail","E-mail",ok,
"contact.labels.message","Nachricht","Message",ok,
"contact.labels.name","Name","Name",possibly_untranslated,Same string in both locales
"contact.labels.subject","Betreff","Subject",ok,
"contact.placeholders.email","ihre.email@beispiel.de","your.email@example.com",ok,
"contact.placeholders.message","Ihre Nachricht an uns...","Your message to us...",ok,
"contact.placeholders.name","Ihr Name","Your name",ok,
"contact.placeholders.subject","Worum geht es?","What's this about?",ok,
"contact.subtitle","Wir begleiten Sie von der ersten Idee bis zum finalen Meisterwerk. Schreiben Sie uns – wir melden uns zeitnah zurück.","We guide you from the first idea to the final masterpiece. Send us a message and we'll reply shortly.",ok,
"contact.successBody","Vielen Dank für Ihre Nachricht. Wir melden uns so schnell wie möglich bei Ihnen.","Thank you for your message. We'll get back to you as soon as possible.",ok,
"contact.successTitle","Nachricht gesendet!","Message sent!",ok,
"contact.title","Kontakt","Contact",ok,
"footer.copyright"," 2025 Medusa Tattoo München. Alle Rechte vorbehalten."," 2025 Medusa Tattoo Munich. All rights reserved.",ok,
"footer.legal","Impressum","Imprint",ok,
"footer.privacy","Datenschutz","Privacy Policy",ok,
"gallery.noResults","Keine Kunstwerke gefunden","No artworks found",ok,
"hero.cta","Termin vereinbaren","Book Appointment",ok,
"hero.subtitle","Eine Tradition individueller Tattoo-Kunst, aufgebaut über zweieinhalb Jahrzehnte. Fürs Leben entworfen. Von Meistern umgesetzt.","A legacy of custom tattoo artistry built over two and a half decades. Designed for life. Executed by masters.",ok,
"hero.title","25 Jahre. Zeitlose Tinte.","25 Years. Timeless Ink.",ok,
"nav.artists","Künstler","Artists",ok,
"nav.booking","Termin buchen","Book Appointment",ok,
"nav.bookingShort","Termin","Book",ok,
"nav.closeMenu","Menü schließen","Close menu",ok,
"nav.contact","Kontakt","Contact",ok,
"nav.faq","FAQ","FAQ",possibly_untranslated,Same string in both locales
"nav.gallery","Galerie","Gallery",ok,
"nav.home","Startseite","Home",ok,
"nav.openMenu","Navigationsmenü öffnen","Open navigation menu",ok,
"nav.pricing","Preise","Pricing",ok,
"nav.services","Leistungen","Services",ok,
"slider.after","Nachher","After",ok,
"slider.before","Vorher","Before",ok,
"slider.heading","Vorher & Nachher","Before & After",ok,
"validation.email","Bitte geben Sie eine gültige E-Mail-Adresse an","Please enter a valid email address",ok,
"validation.maxLength","Darf maximal {{count}} Zeichen lang sein","Must be at most {{count}} characters",ok,
"validation.minLength","Muss mindestens {{count}} Zeichen lang sein","Must be at least {{count}} characters",ok,
"validation.required","Dieses Feld ist erforderlich","This field is required",ok,
